ts,symbol,tf,action,price,size,fee,pnl,reasons,reason
2025-06-05 16:00:00+00:00,BTCUSD_1H,4H,enter_short,101868.006492,0.44320992891545946,9.029782383215776,0.0,4.0,
2025-06-06 12:00:00+00:00,BTCUSD_1H,4H,stop,105224.242868,0.44320992891545946,9.327285840341863,-1487.5172856304396,,stop_loss
2025-06-09 16:00:00+00:00,BTCUSD_1H,4H,enter_long,108722.711696,0.6476216557280294,14.082236512760943,0.0,4.0,
2025-06-09 20:00:00+00:00,BTCUSD_1H,4H,tp1,110257.02953999999,0.21371514639024972,4.712719441739037,327.9069626396302,,take_profit_1R
2025-06-11 20:00:00+00:00,BTCUSD_1H,4H,stop,108625.902252,0.43390650933777974,9.426697213966438,-42.006247916970665,,stop_loss
2025-06-14 16:00:00+00:00,BTCUSD_1H,4H,enter_short,104664.47745600001,0.4140367936754104,8.666988931518905,0.0,4.0,
2025-06-16 12:00:00+00:00,BTCUSD_1H,4H,stop,107521.20128400001,0.4140367936754104,8.903546686351158,-1182.7887741612653,,stop_loss
2025-06-25 20:00:00+00:00,BTCUSD_1H,4H,enter_long,107443.18008800001,0.37693786448545324,8.09988057117934,0.0,4.0,
2025-07-09 16:00:00+00:00,BTCUSD_1H,4H,tp1,111747.2832,0.12438949528019957,2.7800376312363055,535.3852137356159,,take_profit_1R
2025-07-10 16:00:00+00:00,BTCUSD_1H,4H,tp2,113354.59002,0.08334096183773372,1.8894161121977544,492.66258955001166,,take_profit_2R
2025-07-10 20:00:00+00:00,BTCUSD_1H,4H,tp3,115984.88748,0.0575305185049568,1.3345341430926947,491.4088551793821,,take_profit_3R
2025-07-20 16:00:00+00:00,BTCUSD_1H,4H,enter_short,118153.91952,0.5995660854587237,14.168216601642298,0.0,4.0,
2025-07-22 20:00:00+00:00,BTCUSD_1H,4H,stop,120074.430568,0.5995660854587237,14.398511259868215,-1151.4732911295912,,stop_loss
2025-07-23 16:00:00+00:00,BTCUSD_1H,4H,enter_long,118506.053468,0.3208282134497606,7.604017083424049,0.0,4.0,
2025-07-25 04:00:00+00:00,BTCUSD_1H,4H,stop,115289.145888,0.3208282134497606,7.3976021410791715,-1032.0747117243925,,stop_loss
2025-07-25 16:00:00+00:00,BTCUSD_1H,4H,enter_short,116674.94134800001,0.33789263123749796,7.884720586311294,0.0,4.0,
2025-08-01 16:00:00+00:00,BTCUSD_1H,4H,tp1,113293.219168,0.11150456830837434,2.526542299118776,377.0774718197559,,take_profit_1R
2025-08-07 12:00:00+00:00,BTCUSD_1H,4H,stop,116779.34306,0.2263880629291236,5.287489853097799,-23.635301346162354,,stop_loss
2025-08-08 16:00:00+00:00,BTCUSD_1H,4H,enter_long,116514.38712,0.47156878133827107,10.98890950851079,0.0,4.0,
2025-08-10 12:00:00+00:00,BTCUSD_1H,4H,tp1,118755.518784,0.15561769784162946,3.696092087830893,348.7597501116603,,take_profit_1R
2025-08-11 00:00:00+00:00,BTCUSD_1H,4H,tp2,121660.80620400001,0.10426385755389173,2.5369649935890966,536.5855062868068,,take_profit_2R
2025-08-13 20:00:00+00:00,BTCUSD_1H,4H,tp3,123316.283748,0.07197365682053496,1.775104777372453,489.5573736324261,,take_profit_3R
2025-06-03 16:00:00+00:00,BTCUSD_1H,1H,stop,106259.17932,0.1397135691222149,2.9691698389589294,-1432.7916838279777,,stop_loss
