ts,symbol,tf,action,price,size,fee,pnl,reasons,reason
2025-04-06 00:00:00+00:00,BTCUSD_4H,1D,enter_short,83278.785156,0.017875246103834747,0.297725755978376,0.0,4.0,
2025-04-07 00:00:00+00:00,BTCUSD_4H,1D,tp1,77682.880728,0.005898831214265467,0.09164764033047754,33.00929571193271,,take_profit_1R
2025-04-07 00:00:00+00:00,BTCUSD_4H,1D,enter_short,77620.75927200001,0.016273362736975036,0.2526301543105349,0.0,4.0,
2025-04-08 00:00:00+00:00,BTCUSD_4H,1D,enter_short,79860.772908,0.014778417683263469,0.23604317170853506,0.0,4.0,
2025-04-09 00:00:00+00:00,BTCUSD_4H,1D,enter_short,74982.305076,0.013741724291933122,0.2060772326256019,0.0,4.0,
2025-04-10 00:00:00+00:00,BTCUSD_4H,1D,enter_short,81711.642264,0.012245739095081868,0.20012389043912174,0.0,4.0,
2025-04-11 00:00:00+00:00,BTCUSD_4H,1D,enter_short,80769.15940799999,0.01181720605459617,0.19089315991617214,0.0,4.0,
2025-04-23 00:00:00+00:00,BTCUSD_4H,1D,stop,93227.756192,0.01181720605459617,0.22033832098570358,-147.22580534765726,,stop_loss
2025-04-25 00:00:00+00:00,BTCUSD_4H,1D,enter_long,93385.51927199999,0.01810185031942007,0.3380901383726124,0.0,4.0,
2025-04-26 00:00:00+00:00,BTCUSD_4H,1D,enter_long,94818.06206,0.01853367396460968,0.3514654096352334,0.0,4.0,
2025-04-27 00:00:00+00:00,BTCUSD_4H,1D,enter_long,94231.337464,0.019468574661149454,0.3669099657675707,0.0,4.0,
2025-04-28 00:00:00+00:00,BTCUSD_4H,1D,enter_long,93922.433952,0.01987254318587528,0.3732955249667278,0.0,4.0,
2025-04-29 00:00:00+00:00,BTCUSD_4H,1D,enter_long,94721.88360399999,0.01984198410770456,0.3758940218244818,0.0,4.0,
2025-04-30 00:00:00+00:00,BTCUSD_4H,1D,enter_long,95100.104832,0.02082522017464029,0.3960961243515546,0.0,4.0,
2025-05-01 00:00:00+00:00,BTCUSD_4H,1D,enter_long,94845.52304,0.020854672131782444,0.3955944572333236,0.0,4.0,
2025-05-02 00:00:00+00:00,BTCUSD_4H,1D,enter_long,97186.579088,0.020232781036218967,0.3932709548693363,0.0,4.0,
2025-05-03 00:00:00+00:00,BTCUSD_4H,1D,enter_long,96417.631632,0.019703540529197677,0.3799537425180728,0.0,4.0,
2025-05-04 00:00:00+00:00,BTCUSD_4H,1D,enter_long,95781.727372,0.01963104296085484,0.3760590409809236,0.0,4.0,
2025-05-05 00:00:00+00:00,BTCUSD_4H,1D,enter_long,94084.788868,0.020212561067200104,0.38033890809781573,0.0,4.0,
2025-05-06 00:00:00+00:00,BTCUSD_4H,1D,enter_long,94487.699968,0.020730863635932847,0.3917623246619089,0.0,4.0,
2025-05-07 00:00:00+00:00,BTCUSD_4H,1D,enter_long,96537.379512,0.021765742773073762,0.42024155408895864,0.0,4.0,
2025-05-08 00:00:00+00:00,BTCUSD_4H,1D,enter_long,99199.69401199999,0.021348740210840135,0.42355769929140435,0.0,4.0,
2025-05-09 00:00:00+00:00,BTCUSD_4H,1D,enter_long,102474.343348,0.01973469243340879,0.404459929657662,0.0,4.0,
2025-05-10 00:00:00+00:00,BTCUSD_4H,1D,enter_long,103276.534096,0.020256387996643203,0.41840190911942543,0.0,4.0,
2025-05-11 00:00:00+00:00,BTCUSD_4H,1D,enter_long,104058.246656,0.0199527632581836,0.41524991211776874,0.0,4.0,
2025-05-12 00:00:00+00:00,BTCUSD_4H,1D,enter_long,104141.64,0.019986860067138686,0.41629287716846664,0.0,4.0,
2025-05-13 00:00:00+00:00,BTCUSD_4H,1D,enter_long,101765.209808,0.018454557366123375,0.37560638045546346,0.0,4.0,
2025-05-14 00:00:00+00:00,BTCUSD_4H,1D,enter_long,103626.724116,0.01766433127384052,0.3660993567215805,0.0,4.0,
2025-05-15 00:00:00+00:00,BTCUSD_4H,1D,enter_long,102810.1076,0.017927687392353828,0.3686294939654121,0.0,4.0,
2025-05-16 00:00:00+00:00,BTCUSD_4H,1D,enter_long,104088.558776,0.017800526285274277,0.37056622529770095,0.0,4.0,
2025-05-17 00:00:00+00:00,BTCUSD_4H,1D,enter_long,103571.001836,0.01762491659637681,0.3650860538325379,0.0,4.0,
2025-05-18 00:00:00+00:00,BTCUSD_4H,1D,enter_long,103362.248368,0.0176191628028262,0.3642312563323898,0.0,4.0,
2025-05-19 00:00:00+00:00,BTCUSD_4H,1D,enter_long,103676.283932,0.017120573842502457,0.3549994949548114,0.0,4.0,
2025-05-20 00:00:00+00:00,BTCUSD_4H,1D,enter_long,105822.772184,0.01589355495911837,0.3363800091265333,0.0,4.0,
2025-05-21 00:00:00+00:00,BTCUSD_4H,1D,enter_long,106935.71718400001,0.016349769211329173,0.34967485928127345,0.0,4.0,
2025-05-22 00:00:00+00:00,BTCUSD_4H,1D,enter_long,111850.712396,0.015494349432109955,0.3466108044188113,0.0,4.0,
2025-05-23 00:00:00+00:00,BTCUSD_4H,1D,enter_long,111145.310348,0.016907420280305705,0.3758360948477294,0.0,4.0,
2025-05-24 00:00:00+00:00,BTCUSD_4H,1D,enter_long,108434.316384,0.015924548578859162,0.3453535077744784,0.0,4.0,
2025-05-25 00:00:00+00:00,BTCUSD_4H,1D,enter_long,108177.643756,0.015815713498801853,0.3421813241240695,0.0,4.0,
2025-05-26 00:00:00+00:00,BTCUSD_4H,1D,enter_long,109726.212936,0.015272705057883558,0.3351632174580111,0.0,4.0,
2025-05-27 00:00:00+00:00,BTCUSD_4H,1D,enter_long,108969.42034000001,0.016022801820373408,0.34919908531775745,0.0,4.0,
2025-05-28 00:00:00+00:00,BTCUSD_4H,1D,enter_long,108955.084608,0.0164178386853533,0.3577614006086329,0.0,4.0,
2025-05-29 00:00:00+00:00,BTCUSD_4H,1D,enter_long,108135.957088,0.016178858669348973,0.34990327336030747,0.0,4.0,
2025-06-10 00:00:00+00:00,BTCUSD_4H,1D,enter_long,109658.49586,0.017676263278345844,0.3876704887057516,0.0,4.0,
2025-06-11 00:00:00+00:00,BTCUSD_4H,1D,enter_long,109786.537056,0.017822747682088007,0.3913395497678587,0.0,4.0,
2025-06-12 00:00:00+00:00,BTCUSD_4H,1D,enter_long,107924.522548,0.017691845954569855,0.3818768055279434,0.0,4.0,
2025-06-17 00:00:00+00:00,BTCUSD_4H,1D,enter_long,107673.292096,0.017669405424507467,0.3805046102871279,0.0,4.0,
2025-06-23 00:00:00+00:00,BTCUSD_4H,1D,stop,101159.52,0.017669405424507467,0.3574857142857143,-115.09448000706779,,stop_loss
2025-06-25 00:00:00+00:00,BTCUSD_4H,1D,enter_long,106343.960576,0.015367650174324034,0.32685135685681493,0.0,4.0,
2025-06-26 00:00:00+00:00,BTCUSD_4H,1D,enter_long,107971.341268,0.015504078569354504,0.33479923165153214,0.0,4.0,
2025-06-27 00:00:00+00:00,BTCUSD_4H,1D,enter_long,107581.525404,0.01699451101572065,0.36565908371326183,0.0,4.0,
2025-06-28 00:00:00+00:00,BTCUSD_4H,1D,enter_long,107390.17889600001,0.0174291678618096,0.37434429093762944,0.0,4.0,
2025-06-29 00:00:00+00:00,BTCUSD_4H,1D,enter_long,107315.409,0.017848951463346283,0.383093505302031,0.0,4.0,
2025-07-09 00:00:00+00:00,BTCUSD_4H,1D,enter_long,108422.111504,0.027778604521959932,0.6023629913810917,0.0,4.0,
2025-07-11 00:00:00+00:00,BTCUSD_4H,1D,tp1,116883.347952,0.009166939492246779,0.21429251566544208,77.56364254840902,,take_profit_1R
