ts,symbol,tf,action,price,size,fee,pnl,reasons,reason
2018-01-17 12:00:00+00:00,BTCUSD_1H,4H,enter_long,107615.15791600001,0.4649437957341953,50.03499999999988,0.0,"['mtf_sync', 'htf_neutral', 'mtf_long']",
2018-01-17 16:00:00+00:00,BTCUSD_1H,4H,rejected,107602.76,0.0,0.0,0.0,,exposure_limit
2018-01-17 20:00:00+00:00,BTCUSD_1H,4H,rejected,107643.66,0.0,0.0,0.0,,exposure_limit
2018-01-18 00:00:00+00:00,BTCUSD_1H,4H,rejected,107605.18,0.0,0.0,0.0,,exposure_limit
2018-01-19 12:00:00+00:00,BTCUSD_1H,4H,rejected,107777.69,0.0,0.0,0.0,,exposure_limit
2018-01-19 16:00:00+00:00,BTCUSD_1H,4H,rejected,107406.41,0.0,0.0,0.0,,exposure_limit
2018-01-19 20:00:00+00:00,BTCUSD_1H,4H,rejected,109499.25,0.0,0.0,0.0,,exposure_limit
2018-01-20 00:00:00+00:00,BTCUSD_1H,4H,rejected,109199.72,0.0,0.0,0.0,,exposure_limit
2018-01-20 04:00:00+00:00,BTCUSD_1H,4H,rejected,108978.22,0.0,0.0,0.0,,exposure_limit
2018-01-20 08:00:00+00:00,BTCUSD_1H,4H,rejected,108835.0,0.0,0.0,0.0,,exposure_limit
2018-01-20 12:00:00+00:00,BTCUSD_1H,4H,rejected,109423.3,0.0,0.0,0.0,,exposure_limit
2018-01-20 16:00:00+00:00,BTCUSD_1H,4H,rejected,109207.08,0.0,0.0,0.0,,exposure_limit
2018-01-20 20:00:00+00:00,BTCUSD_1H,4H,rejected,109316.08,0.0,0.0,0.0,,exposure_limit
2018-01-21 00:00:00+00:00,BTCUSD_1H,4H,rejected,109988.77,0.0,0.0,0.0,,exposure_limit
2018-01-21 04:00:00+00:00,BTCUSD_1H,4H,rejected,109508.65,0.0,0.0,0.0,,exposure_limit
2018-01-21 08:00:00+00:00,BTCUSD_1H,4H,rejected,109025.75,0.0,0.0,0.0,,exposure_limit
2018-01-21 12:00:00+00:00,BTCUSD_1H,4H,rejected,108807.06,0.0,0.0,0.0,,exposure_limit
2018-01-21 16:00:00+00:00,BTCUSD_1H,4H,rejected,108770.92,0.0,0.0,0.0,,exposure_limit
