2025-09-28T16:57:00.921987: ('BTC', '1D', '2024-07-01..2025-01-01', 'thresh0.4_min3_cd7_r0.025_sl1.6_tp3.0_tr1.0'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.923487: ('ETH', '1D', '2024-07-01..2025-01-01', 'thresh0.3_min3_cd7_r0.035_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.924676: ('BTC', '1D', '2023-07-01..2024-06-30', 'thresh0.3_min3_cd3_r0.025_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.925711: ('ETH', '1D', '2023-07-01..2024-06-30', 'thresh0.3_min3_cd3_r0.025_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.927036: ('ETH', '1D', '2024-07-01..2025-01-01', 'thresh0.4_min3_cd7_r0.025_sl1.6_tp3.0_tr1.0'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.927986: ('BTC', '1D', '2023-07-01..2024-06-30', 'thresh0.3_min3_cd7_r0.050_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.928861: ('BTC', '1D', '2024-07-01..2025-01-01', 'thresh0.3_min3_cd7_r0.035_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.929297: ('ETH', '1D', '2023-07-01..2024-06-30', 'thresh0.4_min3_cd7_r0.025_sl1.6_tp3.0_tr1.0'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.929701: ('BTC', '1D', '2024-07-01..2025-01-01', 'thresh0.3_min3_cd7_r0.025_sl1.0_tp2.0_tr0.6'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.930088: ('ETH', '1D', '2024-07-01..2025-01-01', 'thresh0.3_min3_cd7_r0.050_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.930442: ('ETH', '1D', '2024-07-01..2025-01-01', 'thresh0.2_min2_cd5_r0.025_sl1.2_tp2.0_tr0.6'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.930800: ('BTC', '1D', '2023-07-01..2024-06-30', 'thresh0.4_min3_cd7_r0.025_sl1.6_tp3.0_tr1.0'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.931135: ('ETH', '1D', '2022-01-01..2023-06-30', 'thresh0.5_min4_cd10_r0.025_sl1.8_tp3.5_tr1.2'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.931474: ('BTC', '1D', '2023-07-01..2024-06-30', 'thresh0.3_min3_cd7_r0.015_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.931878: ('ETH', '1D', '2022-01-01..2023-06-30', 'thresh0.3_min3_cd7_r0.050_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.932254: ('ETH', '1D', '2022-01-01..2023-06-30', 'thresh0.3_min3_cd14_r0.025_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.932653: ('BTC', '1D', '2022-01-01..2023-06-30', 'thresh0.5_min4_cd10_r0.025_sl1.8_tp3.5_tr1.2'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.933005: ('BTC', '1D', '2023-07-01..2024-06-30', 'thresh0.3_min3_cd7_r0.025_sl1.0_tp2.0_tr0.6'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.933451: ('ETH', '1D', '2024-07-01..2025-01-01', 'thresh0.3_min3_cd7_r0.025_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.933836: ('BTC', '1D', '2022-01-01..2023-06-30', 'thresh0.3_min3_cd7_r0.025_sl2.0_tp4.0_tr1.2'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.934281: ('ETH', '1D', '2022-01-01..2023-06-30', 'thresh0.3_min3_cd3_r0.025_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.934690: ('ETH', '1D', '2022-01-01..2023-06-30', 'thresh0.3_min3_cd7_r0.025_sl2.0_tp4.0_tr1.2'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.935021: ('BTC', '1D', '2022-01-01..2023-06-30', 'thresh0.3_min3_cd7_r0.025_sl1.0_tp2.0_tr0.6'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.935240: ('ETH', '1D', '2024-07-01..2025-01-01', 'thresh0.3_min3_cd7_r0.025_sl1.0_tp2.0_tr0.6'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.935458: ('ETH', '1D', '2022-01-01..2023-06-30', 'thresh0.3_min3_cd7_r0.035_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.935667: ('ETH', '1D', '2023-07-01..2024-06-30', 'thresh0.3_min3_cd7_r0.025_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.935869: ('BTC', '1D', '2022-01-01..2023-06-30', 'thresh0.3_min3_cd3_r0.025_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.936059: ('BTC', '1D', '2022-01-01..2023-06-30', 'thresh0.3_min3_cd7_r0.035_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.936280: ('ETH', '1D', '2023-07-01..2024-06-30', 'thresh0.3_min3_cd7_r0.035_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.936469: ('ETH', '1D', '2024-07-01..2025-01-01', 'thresh0.5_min4_cd10_r0.025_sl1.8_tp3.5_tr1.2'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.936654: ('ETH', '1D', '2023-07-01..2024-06-30', 'thresh0.2_min2_cd5_r0.025_sl1.2_tp2.0_tr0.6'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.936901: ('BTC', '1D', '2024-07-01..2025-01-01', 'thresh0.3_min3_cd14_r0.025_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.937179: ('BTC', '1D', '2024-07-01..2025-01-01', 'thresh0.3_min3_cd7_r0.025_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.937423: ('ETH', '1D', '2022-01-01..2023-06-30', 'thresh0.3_min3_cd7_r0.025_sl1.0_tp2.0_tr0.6'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.937647: ('ETH', '1D', '2023-07-01..2024-06-30', 'thresh0.3_min3_cd7_r0.015_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.937860: ('ETH', '1D', '2023-07-01..2024-06-30', 'thresh0.3_min3_cd7_r0.025_sl1.0_tp2.0_tr0.6'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.938071: ('ETH', '1D', '2022-01-01..2023-06-30', 'thresh0.3_min3_cd7_r0.015_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.938274: ('ETH', '1D', '2023-07-01..2024-06-30', 'thresh0.3_min3_cd7_r0.025_sl2.0_tp4.0_tr1.2'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.938482: ('BTC', '1D', '2023-07-01..2024-06-30', 'thresh0.3_min3_cd14_r0.025_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.938688: ('BTC', '1D', '2023-07-01..2024-06-30', 'thresh0.5_min4_cd10_r0.025_sl1.8_tp3.5_tr1.2'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.938954: ('ETH', '1D', '2022-01-01..2023-06-30', 'thresh0.3_min3_cd7_r0.025_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.939169: ('ETH', '1D', '2022-01-01..2023-06-30', 'thresh0.2_min2_cd5_r0.025_sl1.2_tp2.0_tr0.6'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.939391: ('ETH', '1D', '2023-07-01..2024-06-30', 'thresh0.3_min3_cd7_r0.050_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.939595: ('ETH', '1D', '2023-07-01..2024-06-30', 'thresh0.5_min4_cd10_r0.025_sl1.8_tp3.5_tr1.2'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.939783: ('BTC', '1D', '2023-07-01..2024-06-30', 'thresh0.2_min2_cd5_r0.025_sl1.2_tp2.0_tr0.6'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.939983: ('BTC', '1D', '2022-01-01..2023-06-30', 'thresh0.4_min3_cd7_r0.025_sl1.6_tp3.0_tr1.0'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.940193: ('BTC', '1D', '2023-07-01..2024-06-30', 'thresh0.3_min3_cd7_r0.025_sl2.0_tp4.0_tr1.2'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.940387: ('BTC', '1D', '2022-01-01..2023-06-30', 'thresh0.3_min3_cd7_r0.025_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
2025-09-28T16:57:00.940584: ('BTC', '1D', '2024-07-01..2025-01-01', 'thresh0.3_min3_cd7_r0.015_sl1.4_tp2.5_tr0.8'): error - load_multi_timeframe_data() missing 1 required positional argument: 'data_paths'
