ts,symbol,tf,action,price,size,fee,pnl,reasons,reason
2025-06-18 04:00:00+00:00,BTCUSD_1H,1H,enter_long,105553.705909,0.474,50.032456600866,0.0,2.0,
2025-06-18 18:00:00+00:00,BTCUSD_1H,1H,enter_short,103569.310698,0.4824,49.9618354807152,0.0,2.0,
2025-06-18 20:00:00+00:00,BTCUSD_1H,1H,enter_long,104913.95839900001,0.4769,50.0334667604831,0.0,2.0,
2025-06-19 16:00:00+00:00,BTCUSD_1H,1H,enter_short,103961.026305,0.4806,49.963669242183,0.0,2.0,
2025-06-20 01:00:00+00:00,BTCUSD_1H,1H,enter_long,104881.335579,0.4771,50.03888520474091,0.0,2.0,
2025-06-20 14:00:00+00:00,BTCUSD_1H,1H,enter_short,103855.670106,0.4811,49.964962887996606,0.0,2.0,
2025-06-21 21:00:00+00:00,BTCUSD_1H,1H,tp1,101550.105349,0.19244000000000003,19.542302273361564,443.68288183708006,,take_profit_1R
2025-06-22 15:00:00+00:00,BTCUSD_1H,1H,tp2,99019.56521,0.08659800000000001,8.57489630805558,418.79701178380844,,take_profit_2R
2025-06-22 22:00:00+00:00,BTCUSD_1H,1H,enter_long,101087.251578,0.495,50.03818953111,0.0,2.0,
2025-06-23 19:00:00+00:00,BTCUSD_1H,1H,tp1,103171.579305,0.198,20.427972702390004,412.69688994600216,,take_profit_1R
2025-06-23 22:00:00+00:00,BTCUSD_1H,1H,tp2,105557.95766999999,0.0891,9.405214028397,398.33991279719936,,take_profit_2R
2025-06-25 13:00:00+00:00,BTCUSD_1H,1H,tp3,107919.873171,0.06236999999999999,6.730962489675269,426.15060875541013,,take_profit_3R
2025-06-25 13:00:00+00:00,BTCUSD_1H,1H,close_remaining,107919.873171,0.14553,15.70557914257563,994.3514204292904,,auto_close_remaining
2025-06-26 13:00:00+00:00,BTCUSD_1H,1H,enter_short,106914.45745500001,0.4673,49.96112596872151,0.0,2.0,
2025-06-26 19:00:00+00:00,BTCUSD_1H,1H,enter_long,107660.099353,0.4647,50.029648169339104,0.0,2.0,
2025-06-26 22:00:00+00:00,BTCUSD_1H,1H,enter_short,106966.63090799999,0.4671,49.9641132971268,0.0,2.0,
2025-06-28 06:00:00+00:00,BTCUSD_1H,1H,enter_long,107552.30394900001,0.4652,50.0333317970748,0.0,2.0,
2025-06-28 19:00:00+00:00,BTCUSD_1H,1H,enter_short,107207.252355,0.4661,49.969300322665504,0.0,2.0,
2025-06-29 00:00:00+00:00,BTCUSD_1H,1H,enter_long,107588.54930299999,0.4651,50.0394342808253,0.0,2.0,
2025-06-29 03:00:00+00:00,BTCUSD_1H,1H,enter_short,107197.40925,0.4661,49.964712451425,0.0,2.0,
2025-06-29 08:00:00+00:00,BTCUSD_1H,1H,enter_long,107811.85550800001,0.4641,50.035482141262804,0.0,2.0,
2025-06-29 19:00:00+00:00,BTCUSD_1H,1H,enter_short,107356.14805500001,0.4654,49.96355130479701,0.0,2.0,
2025-06-29 23:00:00+00:00,BTCUSD_1H,1H,enter_long,108462.31050800001,0.4613,50.033663837340406,0.0,2.0,
2025-06-30 06:00:00+00:00,BTCUSD_1H,1H,enter_short,107524.699986,0.4647,49.96672808349421,0.0,2.0,
2025-06-30 19:00:00+00:00,BTCUSD_1H,1H,enter_long,107827.10617599999,0.464,50.031777265664,0.0,2.0,
2025-07-01 04:00:00+00:00,BTCUSD_1H,1H,enter_short,106844.426511,0.4676,49.9604538365436,0.0,2.0,
2025-07-02 05:00:00+00:00,BTCUSD_1H,1H,enter_long,106736.95360299999,0.4688,50.0382838490864,0.0,2.0,
