choch_against.bars_confirm,momentum_fade.drop_pct,time_stop.bars_max,elapsed_s,success,trades,win_rate,expectancy,max_dd,sharpe,exits_total,exits_choch,exits_mom,exits_time,exits_none
1,0.25,48,36.97,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
1,0.25,72,36.76,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
1,0.25,96,36.19,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
1,0.35,48,37.01,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
1,0.35,72,36.55,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
1,0.35,96,34.65,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
1,0.45,48,37.47,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
1,0.45,72,36.93,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
1,0.45,96,37.4,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
2,0.25,48,36.62,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
2,0.25,72,33.97,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
2,0.25,96,31.05,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
2,0.35,48,29.87,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
2,0.35,72,29.92,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
2,0.35,96,29.99,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
2,0.45,48,29.96,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
2,0.45,72,29.74,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
2,0.45,96,29.96,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
3,0.25,48,29.85,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
3,0.25,72,30.02,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
3,0.25,96,30.44,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
3,0.35,48,30.12,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
3,0.35,72,30.92,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
3,0.35,96,30.12,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
3,0.45,48,30.0,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
3,0.45,72,30.97,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
3,0.45,96,30.9,False,0,0.0,0.0,0.0,0.0,3300,0,0,0,3300
