tag,threshold,elapsed_sec,trades,win_rate,profit_factor,avg_R,max_dd,expectancy,avg_entry_score,avg_hold_bars,avg_mfe_R,avg_mae_R,avg_win,avg_loss,entries
baseline_no_exits,0.3,,,,,,,,,,,,,,
baseline_no_exits,0.32,,,,,,,,,,,,,,
baseline_no_exits,0.34,,,,,,,,,,,,,,
baseline_no_exits,0.36,,,,,,,,,,,,,,
baseline_no_exits,0.38,,,,,,,,,,,,,,
baseline_no_exits,0.4,,,,,,,,,,,,,,
baseline_no_exits,0.42,,,,,,,,,,,,,,
baseline_no_exits,0.44,,,,,,,,,,,,,,
baseline_no_exits,0.46,,,,,,,,,,,,,,
baseline_no_exits,0.48,,,,,,,,,,,,,,
baseline_no_exits,0.5,,,,,,,,,,,,,,
