archetype,concurrency,n,mean_fwd_72h_%,mean_fwd_168h_%,win_rate_72h_%,win_rate_168h_%
failed_continuation,1_alone,1,-3.497,-1.54,0.0,0.0
funding_divergence,1_alone,147,2.225,3.186,64.6,59.9
funding_divergence,2_with_1_other,8,-2.061,-1.025,25.0,62.5
funding_divergence,3plus,2,2.417,11.906,50.0,100.0
liquidity_sweep,1_alone,1676,0.393,0.928,52.9,52.7
liquidity_sweep,2_with_1_other,51,-0.256,0.3,52.9,58.8
liquidity_sweep,3plus,92,1.174,1.741,60.9,63.0
liquidity_vacuum,1_alone,19,0.337,0.227,63.2,57.9
liquidity_vacuum,2_with_1_other,1,-1.577,5.802,0.0,100.0
retest_cluster,1_alone,170,0.75,0.472,58.8,54.7
retest_cluster,2_with_1_other,10,0.874,1.431,50.0,60.0
retest_cluster,3plus,20,-1.739,-1.527,45.0,55.0
spring,1_alone,74,0.942,2.451,59.5,58.1
spring,2_with_1_other,4,-2.383,-3.839,0.0,25.0
spring,3plus,8,1.007,0.267,50.0,50.0
trap_within_trend,1_alone,97,1.049,2.15,54.6,52.6
trap_within_trend,2_with_1_other,502,0.594,1.471,58.6,54.8
trap_within_trend,3plus,114,0.42,0.914,56.1,59.6
wick_trap,1_alone,200,1.184,2.411,57.0,62.0
wick_trap,2_with_1_other,510,0.525,1.419,58.0,54.5
wick_trap,3plus,115,0.514,0.997,56.5,60.0
