mode,phase,archetype,direction,trades,win_rate,profit_factor,pnl
status_quo,train,wick_trap,long,27,92.6,4.53,14191.89
status_quo,train,liquidity_sweep,long,33,87.9,2.95,9631.05
status_quo,train,funding_divergence,long,30,86.7,3.40,7465.04
status_quo,train,long_squeeze,short,22,77.3,3.00,3820.11
status_quo,train,trap_within_trend,long,3,100.0,inf,2339.56
status_quo,train,liquidity_compression,long,8,75.0,1.39,576.2
status_quo,train,exhaustion_reversal,long,7,71.4,0.72,-612.44
status_quo,train,oi_divergence,long,3,33.3,0.03,-1196.05
status_quo,train,confluence_breakout,long,169,46.7,0.73,-8499.68
status_quo,test,confluence_breakout,long,320,65.0,1.60,30701.71
status_quo,test,wick_trap,long,29,82.8,5.93,13778.21
status_quo,test,liquidity_compression,long,26,88.5,5.65,6369.82
status_quo,test,liquidity_sweep,long,20,85.0,2.71,6031.88
status_quo,test,exhaustion_reversal,long,14,100.0,inf,5855.74
status_quo,test,fvg_continuation,long,10,100.0,inf,2890.86
status_quo,test,trap_within_trend,long,3,66.7,6.97,1642.32
status_quo,test,funding_divergence,long,23,78.3,1.13,500.55
status_quo,test,oi_divergence,long,7,14.3,0.10,-3444.58
status_quo,test,long_squeeze,short,12,8.3,0.02,-6489.23
normalized,train,liquidity_sweep,long,46,87.0,2.07,10035.66
normalized,train,trap_within_trend,long,12,100.0,inf,9167.19
normalized,train,wick_trap,long,11,90.9,4.18,4938.38
normalized,train,funding_divergence,long,26,84.6,2.56,4835.45
normalized,train,long_squeeze,short,22,77.3,3.00,3820.11
normalized,train,exhaustion_reversal,long,7,71.4,0.72,-612.44
normalized,train,liquidity_compression,long,4,50.0,0.24,-1115.41
normalized,train,oi_divergence,long,3,33.3,0.03,-1196.05
normalized,train,confluence_breakout,long,193,40.9,0.61,-15069.42
normalized,test,confluence_breakout,long,351,64.4,1.50,29310.35
normalized,test,wick_trap,long,24,83.3,6.18,12219.85
normalized,test,liquidity_sweep,long,28,85.7,2.70,7510.25
normalized,test,exhaustion_reversal,long,14,100.0,inf,5855.74
normalized,test,liquidity_compression,long,19,89.5,6.68,4809.04
normalized,test,fvg_continuation,long,10,100.0,inf,2890.86
normalized,test,trap_within_trend,long,7,57.1,1.32,612.37
normalized,test,funding_divergence,long,23,78.3,1.13,500.55
normalized,test,oi_divergence,long,7,14.3,0.10,-3444.58
normalized,test,long_squeeze,short,12,8.3,0.02,-6489.23
unique_sl_zone,train,wick_trap,long,27,92.6,4.53,14191.89
unique_sl_zone,train,liquidity_sweep,long,37,86.5,2.05,8238.34
unique_sl_zone,train,funding_divergence,long,30,86.7,3.40,7465.04
unique_sl_zone,train,long_squeeze,short,22,77.3,3.00,3820.11
unique_sl_zone,train,trap_within_trend,long,4,100.0,inf,2348.79
unique_sl_zone,train,liquidity_compression,long,8,75.0,1.39,576.2
unique_sl_zone,train,exhaustion_reversal,long,7,71.4,0.72,-612.44
unique_sl_zone,train,oi_divergence,long,3,33.3,0.03,-1196.05
unique_sl_zone,train,confluence_breakout,long,169,46.7,0.73,-8499.68
unique_sl_zone,test,confluence_breakout,long,320,65.0,1.60,30701.71
unique_sl_zone,test,wick_trap,long,29,82.8,5.93,13778.21
unique_sl_zone,test,liquidity_compression,long,26,88.5,5.65,6369.82
unique_sl_zone,test,liquidity_sweep,long,20,85.0,2.71,6031.88
unique_sl_zone,test,exhaustion_reversal,long,14,100.0,inf,5855.74
unique_sl_zone,test,fvg_continuation,long,10,100.0,inf,2890.86
unique_sl_zone,test,trap_within_trend,long,3,66.7,6.97,1642.32
unique_sl_zone,test,funding_divergence,long,23,78.3,1.13,500.55
unique_sl_zone,test,oi_divergence,long,7,14.3,0.10,-3444.58
unique_sl_zone,test,long_squeeze,short,12,8.3,0.02,-6489.23
round_robin,train,liquidity_sweep,long,46,87.0,2.07,10035.66
round_robin,train,wick_trap,long,15,93.3,7.18,9593.56
round_robin,train,trap_within_trend,long,12,100.0,inf,8001.82
round_robin,train,funding_divergence,long,30,86.7,3.40,7465.04
round_robin,train,long_squeeze,short,22,77.3,3.00,3820.11
round_robin,train,liquidity_compression,long,8,75.0,1.39,576.2
round_robin,train,oi_divergence,long,2,50.0,0.06,-482.45
round_robin,train,exhaustion_reversal,long,7,71.4,0.72,-612.44
round_robin,train,confluence_breakout,long,194,41.8,0.62,-14707.71
round_robin,test,confluence_breakout,long,358,64.0,1.55,31844.12
round_robin,test,wick_trap,long,19,89.5,10.96,12808.29
round_robin,test,liquidity_sweep,long,21,85.7,2.70,5998.58
round_robin,test,exhaustion_reversal,long,14,100.0,inf,5855.74
round_robin,test,liquidity_compression,long,23,87.0,5.19,5731.36
round_robin,test,fvg_continuation,long,10,100.0,inf,2890.86
round_robin,test,funding_divergence,long,23,78.3,1.13,500.55
round_robin,test,trap_within_trend,long,11,54.5,0.94,-178.09
round_robin,test,oi_divergence,long,6,16.7,0.11,-2920.1
round_robin,test,long_squeeze,short,12,8.3,0.02,-6489.23
hybrid_rr_fusion,train,wick_trap,long,23,95.7,10.27,14392.2
hybrid_rr_fusion,train,liquidity_sweep,long,46,87.0,2.07,10035.66
hybrid_rr_fusion,train,funding_divergence,long,30,86.7,3.40,7465.04
hybrid_rr_fusion,train,long_squeeze,short,22,77.3,3.00,3820.11
hybrid_rr_fusion,train,trap_within_trend,long,3,100.0,inf,2339.56
hybrid_rr_fusion,train,liquidity_compression,long,8,75.0,1.39,576.2
hybrid_rr_fusion,train,exhaustion_reversal,long,7,71.4,0.72,-612.44
hybrid_rr_fusion,train,oi_divergence,long,3,33.3,0.03,-1196.05
hybrid_rr_fusion,train,confluence_breakout,long,184,42.9,0.65,-12641.08
hybrid_rr_fusion,test,confluence_breakout,long,347,64.6,1.58,32320.99
hybrid_rr_fusion,test,wick_trap,long,26,80.8,5.31,12045.91
hybrid_rr_fusion,test,liquidity_sweep,long,28,85.7,2.70,7510.25
hybrid_rr_fusion,test,liquidity_compression,long,26,88.5,5.65,6369.82
hybrid_rr_fusion,test,exhaustion_reversal,long,14,100.0,inf,5855.74
hybrid_rr_fusion,test,fvg_continuation,long,10,100.0,inf,2890.86
hybrid_rr_fusion,test,trap_within_trend,long,5,60.0,1.66,887.56
hybrid_rr_fusion,test,funding_divergence,long,23,78.3,1.13,500.55
hybrid_rr_fusion,test,oi_divergence,long,7,14.3,0.10,-3444.58
hybrid_rr_fusion,test,long_squeeze,short,12,8.3,0.02,-6489.23
pass_through,train,wick_trap,long,27,92.6,4.53,14191.89
pass_through,train,trap_within_trend,long,22,95.5,8.71,11974.87
pass_through,train,liquidity_sweep,long,46,87.0,2.07,10035.66
pass_through,train,funding_divergence,long,30,86.7,3.40,7465.04
pass_through,train,long_squeeze,short,18,72.2,2.40,2670.43
pass_through,train,liquidity_compression,long,8,75.0,1.39,576.2
