archetype,fires_total,wins_dedup,win_rate,losses_total,blocked_by_wick_trap,blocked_by_liquidity_sweep,blocked_by_oi_divergence,blocked_by_exhaustion_reversal,blocked_by_liquidity_compression,blocked_by_other
confluence_breakout,118,23,0.1949,95,2,36,54,0,0,3
exhaustion_reversal,97,50,0.5155,47,17,5,14,0,7,4
funding_divergence,15,13,0.8667,2,0,0,2,0,0,0
liquidity_compression,23,22,0.9565,1,0,0,1,0,0,0
liquidity_sweep,271,136,0.5018,135,110,0,11,4,4,6
liquidity_vacuum,7,3,0.4286,4,0,0,4,0,0,0
oi_divergence,304,109,0.3586,195,50,89,0,22,5,29
retest_cluster,73,3,0.0411,70,22,5,17,21,3,2
spring,20,0,0.0000,20,8,1,3,3,2,3
trap_within_trend,623,6,0.0096,617,588,16,8,0,3,2
wick_trap,645,629,0.9752,16,0,0,7,0,5,4
