position_id,archetype,direction,entry,last_exit,entry_price,stop_loss,fusion,regime,net_pnl,n_legs,crisis,instability,size_usd,mfe_R,mae_R,reached_1R,hold_h,win
long_oi_divergence_1779663600,oi_divergence,long,2026-05-24 23:00:00+00:00,2026-05-26 15:00:00+00:00,77002.99397,76189.19,0.1817,bull,-580.82,1,0.009,0.293,52500.0,1.32,0.9,True,40.0,False
long_oi_divergence_1779753600,oi_divergence,long,2026-05-26 00:00:00+00:00,2026-05-26 17:00:00+00:00,76746.91716999999,76043.01,0.1733,neutral,-507.52,1,0.009,0.3084,52500.0,1.89,1.27,True,17.0,False
long_oi_divergence_1779883200,oi_divergence,long,2026-05-27 12:00:00+00:00,2026-05-27 13:00:00+00:00,75587.26938,74876.25,0.1539,neutral,-519.84,1,0.009,0.5207,52500.0,0.83,1.01,False,1.0,False
long_confluence_breakout_1779850800,confluence_breakout,long,2026-05-27 03:00:00+00:00,2026-05-27 21:00:00+00:00,75585.86895999999,74273.31,0.1942,neutral,-937.46,1,0.009,0.4259,52500.0,0.45,0.95,False,18.0,False
long_retest_cluster_1779886800,retest_cluster,long,2026-05-27 13:00:00+00:00,2026-05-28 03:00:00+00:00,74984.88871999999,73804.35,0.2189,neutral,-852.38,1,0.009,0.5934,52500.0,0.66,1.63,False,14.0,False
long_exhaustion_reversal_1779937200,exhaustion_reversal,long,2026-05-28 03:00:00+00:00,2026-05-30 03:00:00+00:00,73197.75274,72124.92,0.3114,neutral,171.2,2,0.009,0.3721,5250.0,1.23,0.64,True,48.0,True
long_confluence_breakout_1780149600,confluence_breakout,long,2026-05-30 14:00:00+00:00,2026-06-01 06:00:00+00:00,73867.55361999999,72974.86,0.3111,neutral,-660.4,1,0.009,0.378,52500.0,0.46,1.03,False,40.0,False
long_liquidity_compression_1779973200,liquidity_compression,long,2026-05-28 13:00:00+00:00,2026-06-01 13:00:00+00:00,72949.07815999999,71744.13,0.343,neutral,-761.72,2,0.009,0.2902,5250.0,1.3,1.29,True,96.0,False
long_liquidity_compression_1780315200,liquidity_compression,long,2026-06-01 12:00:00+00:00,2026-06-01 15:00:00+00:00,72156.6405,71094.25,0.3224,bear,-798.84,1,0.009,0.3734,52500.0,0.43,1.03,False,3.0,False
long_exhaustion_reversal_1780387200,exhaustion_reversal,long,2026-06-02 08:00:00+00:00,2026-06-02 13:00:00+00:00,69761.02203000001,68673.24,0.3001,bear,-844.47,1,0.009,0.0958,52500.0,0.38,0.92,False,5.0,False
long_liquidity_compression_1780405200,liquidity_compression,long,2026-06-02 13:00:00+00:00,2026-06-02 15:00:00+00:00,68717.30901,67413.28,0.5152,bear,-1022.03,1,0.009,0.2546,52500.0,0.35,1.26,False,2.0,False
long_failed_continuation_1780466400,failed_continuation,long,2026-06-03 06:00:00+00:00,2026-06-03 20:00:00+00:00,66915.36859,64799.87,0.39,bear,-1685.18,1,0.2475,0.0717,52500.0,0.28,1.02,False,14.0,False
long_spring_1780524000,spring,long,2026-06-03 22:00:00+00:00,2026-06-04 00:00:00+00:00,64852.549929999994,63530.44,0.5339,bear,-1096.0,1,0.2475,0.2119,52500.0,0.75,1.4,False,2.0,False
